line_id;variant_id;sub_assembly_ref;sub_assembly_designation;component_ref;designation;quantity;unit;supplier;unit_cost_eur
L00221;B;SA-0109;Floor and wall panels;PANEL-ADHESIVE;Structural adhesive;7.5;kg;Artois Polymères;24,50
L00222;B;SA-0109;Floor and wall panels;PANEL-TRIM-PROFILE;Trim profile;52;m;ATELIER LYS MÉTAL;11.80
L00223;B;SA-0109;Floor and wall panels;PANEL-SCREW-KIT;Panel screw kit;40;u;Nordrail Composants;6,30
L00224;B;SA-0109;Floor and wall panels;SEAT-FIX-KIT-4471;Floor insert kit for seat fixing;12;units;Nordrail Composants;19.90
L00225;B;SA-0109;Floor and wall panels;SEAT-RAIL-I;Floor rail, stainless steel;6;pcs;Atelier Lys Métal ;312.00
L00226;B;SA-0109;Floor and wall panels;HVAC-GRILLE-11;WALL VENTILATION GRILLE TYPE 11;4;pcs;Artois Polymères;39,00
L00227;B;SA-0215;Bike module;BIKE-HOOK;Vertical bike hook ;8;units;Nordrail Composants;148.00
L00228;B;SA-0215;Bike module;BIKE-RAIL;Bike module carrier rail;2;pcs;Atelier Lys Métal;365,00
L00229;B;SA-0215;Bike module;BIKE-STRAP;Bike retaining strap;8;units;Artois Polymères;12,90
L00230;B;SA-0215;Bike module;BIKE-FIX-KIT;Bike rail fixing kit;8;units;Atelier Lys Métal;27.00
L00231;B;SA-0215;Bike module;BIKE-FLOOR-MAT;Bike zone floor mat ;1;pcs;Artois Polymères;286,00
L00232;B;SA-0215;Bike module;BIKE-PICTO;Bike zone pictogram;4;pcs;Artois Polymères;7,40
L00233;B;SA-0111;PASSENGER DOOR SET;DOOR-LEAF;Sliding-plug door leaf ;4;units;Portalys;3980.00
L00234;B;SA-0111;PASSENGER DOOR SET;DOOR-DRIVE-UNIT;Door drive unit;2;units;Portalys;5240,00
L00235;B;SA-0111;PASSENGER DOOR SET;DOOR-GUIDE-RAIL;Door guide rail;4;u;Portalys;612,00
L00236;B;SA-0111;PASSENGER DOOR SET;DOOR-SEAL;Door leaf seal;8;pcs;Portalys ;74,00
L00237;B;SA-0111;PASSENGER DOOR SET;DOOR-OBSTACLE-SENSOR;obstacle detection sensor;4;pcs;Deûle Électronique;328.00
L00238;B;SA-0111;PASSENGER DOOR SET;DOOR-CTRL-UNIT;Door control unit ;2;units;Deûle Électronique;2150,00
L00239;B;SA-0111;PASSENGER DOOR SET;DOOR-PUSHBUTTON-INT;Interior push button;4;units;DEÛLE ÉLECTRONIQUE;86.00
L00240;B;SA-0111;PASSENGER DOOR SET;DOOR-PUSHBUTTON-EXT;Exterior push button;4;units;Deûle Électronique;112,00
L00241;B;SA-0111;PASSENGER DOOR SET;DOOR-EMERG-HANDLE;Emergency egress handle;2;pcs;PORTALYS;265,00
L00242;B;SA-0111;PASSENGER DOOR SET;DOOR-STEP-PLATE;step plate;2;pcs;Atelier Lys Métal;540,00
L00243;B;SA-0111;PASSENGER DOOR SET;DOOR-THRESHOLD;Threshold profile ;2;u;Atelier Lys Métal;298,00
L00244;B;SA-0111;PASSENGER DOOR SET;DOOR-HARNESS;Door wiring harness ;2;units;Hainaut Câblage;386,00
L00245;B;SA-0111;PASSENGER DOOR SET;DOOR-LOCK;Door locking device;4;pcs;Portalys;447,00
L00246;B;SA-0111;PASSENGER DOOR SET;DOOR-DAMPER;Door end-stop damper;4;pcs;Portalys;58,50
L00247;B;SA-0111;PASSENGER DOOR SET;DOOR-PICTO;Door pictogram;8;pcs;Artois Polymères;6.80
L00248;B;SA-0111;PASSENGER DOOR SET;DOOR-FIX-KIT;Door fixing kit;4;pcs;Atelier Lys Métal;72,00
L00249;B;SA-0212;Passenger information system;PIS-DISPLAY-INT;Interior TFT display;4;pcs;Deûle Électronique;1480,00
L00250;B;SA-0212;Passenger information system;PIS-DISPLAY-EXT;Exterior LED destination display;2;pcs;Deûle Électronique;2360,00
L00251;B;SA-0212;Passenger information system;PIS-SPEAKER;Saloon loudspeaker;8;units;Deûle Électronique;64.00
L00252;B;SA-0212;Passenger information system;PIS-CONTROLLER;PIS controller;1;pcs;DEÛLE ÉLECTRONIQUE;5720.00
L00253;B;SA-0212;Passenger information system;PIS-CABLE-TRUNK;PIS cable trunk;36;m;hainaut câblage;12.60
L00254;B;SA-0212;Passenger information system;PIS-SIGN-STD;Standard signage plate;4;u;Artois Polymères ;9,50
L00255;B;SA-0212;Passenger information system;PIS-SIGN-BIKE;bike area signage plate;2;u;Artois Polymères;11,20
L00256;B;SA-0213;Seating module;SEAT-FIX-DBL;FIXED DOUBLE SEAT;18;pcs;escaut sièges;1260,00
L00257;B;SA-0213;Seating module;SEAT-RAIL;Seat mounting rail;12;units;Atelier Lys Métal;184,00
L00258;B;SA-0213;Seating module;SEAT-FIX-KIT;Seat fixing kit;18;pcs;Atelier Lys Métal;23,50
L00259;B;SA-0213;Seating module;SEAT-TABLE;Fixed table;6;u;Escaut Sièges ;474.00
L00260;B;SA-0213;Seating module;SEAT-GRAB-HANDLE;Seat-back grab handle;12;u;Escaut Sièges ;31,00
L00261;B;SA-0213;Seating module;SEAT-END-PANEL;Seat row end panel;8;pcs;Escaut Sièges;142.00
L00262;B;SA-0213;Seating module;SEAT-TIPUP;Tip-up seat;4;units;Escaut Sièges;610.00
L00263;B;SA-0214;Floor and wall anchorage;ANCH-SEAT-RAIL;Floor anchorage rail ;10;units;Atelier Lys Métal;226,00
L00264;B;SA-0214;Floor and wall anchorage;ANCH-RAIL-BOLT;Anchorage rail bolt;80;pcs;Nordrail Composants;1,85
L00265;B;SA-0214;Floor and wall anchorage;ANCH-FLOOR-PLATE;FLOOR ANCHORAGE PLATE;10;units;ATELIER LYS MÉTAL;47.00
L00266;B;SA-0214;Floor and wall anchorage;ANCH-SHIM;Levelling shim;20;units;Nordrail Composants;2,40
L00267;B;SA-0214;Floor and wall anchorage;ANCH-HOOK-POINT;bike hook anchor point;8;units;Atelier Lys Métal ;38.00
L00268;B;SA-0110;Toilet module;WC-CABIN-SHELL;Toilet cabin shell;1;units;sanirail modules;14800.00
L00269;B;SA-0110;Toilet module;WC-BOWL-VACUUM;Vacuum toilet bowl ;1;pcs;Sanirail Modules;3260.00
L00270;B;SA-0110;Toilet module;WC-WATER-TANK;Fresh water tank 120 l;1;pcs;Sanirail Modules;1840,00
L00271;B;SA-0110;Toilet module;WC-WASTE-TANK;Waste retention tank 300 l;1;pcs;Sanirail Modules ;2970,00
L00272;B;SA-0110;Toilet module;WC-WASHBASIN;Washbasin unit;1;u;SANIRAIL MODULES;1120.00
L00273;B;SA-0110;Toilet module;WC-DOOR-SLIDING;Manual sliding toilet door;1;units;Sanirail Modules ;2380,00
L00274;B;SA-0110;Toilet module;WC-VACUUM-PUMP;Vacuum generator;1;u;Sanirail Modules;4150.00
L00275;B;SA-0110;Toilet module;WC-PIPE-KIT;Toilet pipework kit;1;units;Sanirail Modules;860,00
L00276;B;SA-0110;Toilet module;WC-SEALANT;Sanitary sealant;1500;g;Artois Polymères;18,00
L00277;B;SA-0110;Toilet module;WC-GRAB-BAR;Toilet grab bar;2;units;atelier lys métal;128,00
L00278;B;SA-0110;Toilet module;SEAT-RAIL-1;Mounting rail, aluminium, mark 1;2;units;Atelier Lys Métal;121,00
L00279;B;SA-0110;Toilet module;DOOR-SEAL-0;Inner door seal, revision 0;2;pcs;ARTOIS POLYMÈRES;52,00
L00280;D;SA-0101;carbody shell;SHELL-UNDERFRAME;Underframe, welded aluminium;1;units;Atelier Lys Métal;48200,00
L00281;D;SA-0101;carbody shell;SHELL-SIDEWALL;Sidewall panel, extruded;2;pcs;Atelier Lys Métal;17650,00
L00282;D;SA-0101;carbody shell;SHELL-ROOF;Roof assembly;1;pcs;Atelier Lys Métal;15400.00
L00283;D;SA-0101;carbody shell;SHELL-ENDWALL;endwall frame;2;u;Atelier Lys Métal;6900.00
L00284;D;SA-0101;carbody shell;SHELL-BRACKET-KIT;Equipment bracket kit;4;pcs;Atelier Lys Métal;412,50
L00285;D;SA-0101;carbody shell;SHELL-SEAL;Carbody joint seal;24;pcs;Artois Polymères;18,40
L00286;D;SA-0104;HVAC UNIT;HVAC-COMPRESSOR;Scroll compressor;2;pcs;SCALDIS THERMIQUE;4380.00
L00287;D;SA-0104;HVAC UNIT;HVAC-CONDENSER;Condenser coil;2;pcs;Scaldis Thermique;2140,00
L00288;D;SA-0104;HVAC UNIT;HVAC-EVAPORATOR;Evaporator coil;2;u;SCALDIS THERMIQUE;1960.00
L00289;D;SA-0104;HVAC UNIT;HVAC-FAN-SUPPLY;Supply air fan;4;pcs;scaldis thermique;735,00
L00290;D;SA-0104;HVAC UNIT;HVAC-FILTER;FRESH AIR FILTER G4;8;u;Artois Polymères ;38,00
L00291;D;SA-0104;HVAC UNIT;HVAC-DUCT-MAIN;Main air duct;18.5;m;Artois Polymères;96,00
L00292;D;SA-0104;HVAC UNIT;HVAC-CTRL-BOARD;HVAC control board;1;units;Deûle Électronique;1820,00
L00293;D;SA-0104;HVAC UNIT;HVAC-TEMP-SENSOR;Saloon temperature sensor;6;pcs;Deûle Électronique;54,00
L00294;D;SA-0104;HVAC UNIT;HVAC-GRlLLE-12;Air outlet grille type 12;16;pcs;Artois Polymères;42,00
L00295;D;SA-0104;HVAC UNIT;HVAC-GRILLE-1L;Air outlet grille, left-hand;2;u;artois polymères;46.50
L00296;D;SA-0104;HVAC UNIT;HVAC-REFRIGERANT;Refrigerant R-513A charge;6,5;kg;Scaldis Thermique;31.00
L00297;D;SA-0104;HVAC UNIT;BGI2031;Bolt set M8, zinc-nickel;24;pcs;Nordrail Composants;0,85
L00298;D;SA-0105;BRAKING UNIT;BRK-COMPRESSOR;Oil-free air compressor;1;pcs;Sambre Freinage;18700.00
L00299;D;SA-0105;BRAKING UNIT;BRK-AIR-TANK;Air reservoir 100 l;2;u;Sambre Freinage;1240,00
L00300;D;SA-0105;BRAKING UNIT;BRK-CTRL-VALVE ;Brake control valve ;4;units;Sambre Freinage;2680.00
L00301;D;SA-0105;BRAKING UNIT;BRK-PIPE-STEEL;Brake pipe, stainless;32;m;sambre freinage;28,50
L00302;D;SA-0105;BRAKING UNIT;BRK-HOSE-FLEX;Flexible brake hose;8;units;Sambre Freinage;93.00
L00303;D;SA-0105;BRAKING UNIT;BRK-DRYER;Air dryer;1;pcs;Sambre Freinage;3150.00
L00304;D;SA-0105;BRAKING UNIT;BRK-PRESSURE-SENSOR;Pressure transducer;6;pcs;Deûle Électronique ;187.00
L00305;D;SA-0105;BRAKING UNIT;BRK-ECU;Brake electronic control unit;1;units;deûle électronique;9800,00
L00306;D;SA-0105;BRAKING UNIT;BRK-PARKING-ACT;Parking brake actuator;2;u;Sambre Freinage;2260,00
L00307;D;SA-0105;BRAKING UNIT;BRK-BRACKET;Pipe support bracket ;12;units;Atelier Lys Métal;14.20
L00308;D;SA-0105;BRAKING UNIT;BGI-2031;bolt set m8, zinc-nickel;36;pcs;nordrail composants;0,85
L00309;D;SA-0106;Gangway and couplers;GANG-BELLOWS;Gangway bellows;2;units;Artois Polymères;12400,00
L00310;D;SA-0106;Gangway and couplers;GANG-FRAME;Gangway frame;2;units;Atelier Lys Métal;5350.00
L00311;D;SA-0106;Gangway and couplers;GANG-BRIDGE-PLATE;Gangway bridge plate;2;pcs;Atelier Lys Métal;1980,00
L00312;D;SA-0106;Gangway and couplers;GANG-SEAL-PROFILE;gangway seal profile;14.4;m;Artois Polymères;22.80
L00313;D;SA-0106;Gangway and couplers;COUP-SEMI-PERM;Semi-permanent coupler ;2;pcs;Ferroval Systèmes;15800,00
L00314;D;SA-0106;Gangway and couplers;COUP-DRAFT-GEAR;DRAFT GEAR;2;pcs;Ferroval Systèmes;7490.00
L00315;D;SA-0106;Gangway and couplers;COUP-ELEC-HEAD;Electrical coupler head;2;pcs;Hainaut Câblage;4470,00
L00316;D;SA-0106;Gangway and couplers;COUP-JUMPER-CABLE;Inter-car jumper cable;9600;mm;HAINAUT CÂBLAGE;148.00
L00317;D;SA-0106;Gangway and couplers;GANG-HANDRAlL;gangway handrail;4;u;Atelier Lys Métal ;215.00
L00318;D;SA-0106;Gangway and couplers;DOOR-SEAL-O;Gangway door seal, outer;4;pcs;Artois Polymères;81.00
L00319;D;SA-0106;Gangway and couplers;bgi-2031;Bolt set M8, zinc-nickel;48;u;Nordrail Composants;0.85
L00320;D;SA-0102;Trailer bogie;BOGIE-FRAME;Trailer bogie frame;1;u;Ferroval Systèmes;26800,00
L00321;D;SA-0102;Trailer bogie;BOGIE-WHEELSET;Wheelset, 840 mm;2;pcs;ferroval systèmes;11250.00
L00322;D;SA-0102;Trailer bogie;BOGIE-PRIMARY-SUSP;Primary suspension spring set;4;pcs;Ferroval Systèmes;1340,00
L00323;D;SA-0102;Trailer bogie;BOGIE-AIRSPRING;SECONDARY AIR SPRING;2;units;Artois Polymères;2875.00
L00324;D;SA-0102;Trailer bogie;BOGIE-BRAKE-CALIPER;Brake caliper unit;4;units;sambre freinage;3120,00
L00325;D;SA-0102;Trailer bogie;BOGIE-DAMPER;Hydraulic damper;8;units;Ferroval Systèmes;486,00
L00326;D;SA-0102;Trailer bogie;BOGIE-AXLEBOX;AXLEBOX WITH BEARING;4;units;Ferroval Systèmes;2240,00
L00327;D;SA-0403;Traction package ;TRAC-CONV-MAIN;Main traction converter;1;units;tractelys énergie;96500.00
L00328;D;SA-0403;Traction package ;TRAC-MOTOR;Asynchronous traction motor;4;units;Tractelys Énergie;21800.00
L00329;D;SA-0403;Traction package ;TRAC-COOLING-UNIT;Converter cooling unit;1;pcs;Scaldis Thermique;8650,00
L00330;D;SA-0403;Traction package ;TRAC-HV-CABLE;HIGH-VOLTAGE CABLE, SHIELDED;42;m;Hainaut Câblage;64.20
L00331;D;SA-0403;Traction package ;TRAC-CIRCUIT-BREAKER;Vacuum circuit breaker;1;pcs;TRACTELYS ÉNERGIE;13900.00
L00332;D;SA-0403;Traction package ;TRAC-EARTH-SWITCH;EARTHING SWITCH;1;pcs;Tractelys Énergie;4150,00
L00333;D;SA-0403;Traction package ;TRAC-CTRL-RACK;Traction control rack;1;pcs;Deûle Électronique ;17200.00
L00334;D;SA-0403;Traction package ;TRAC-SENSOR-KIT;SPEED AND CURRENT SENSOR KIT;4;u;DEÛLE ÉLECTRONIQUE;940,00
L00335;D;SA-0403;Traction package ;TRAC-BUSBAR;Copper busbar ;6;units;Hainaut Câblage;215,00
L00336;D;SA-0403;Traction package ;TRAC-INSULATOR;ROOF INSULATOR;12;units;Tractelys Énergie;178,00
L00337;D;SA-0403;Traction package ;TRAC-FIX-KIT;Traction equipment fixing kit;8;pcs;atelier lys métal;96,50
L00338;D;SA-0403;Traction package ;TRAC-DIESEL-GENSET;Diesel generator set;1;pcs;TRACTELYS ÉNERGIE;118000,00
L00339;D;SA-0403;Traction package ;TRAC-FUEL-TANK;Fuel tank 1200 l;1;units;Atelier Lys Métal;9400.00
L00340;D;SA-0403;Traction package ;TRAC-EXHAUST-KIT;EXHAUST AND AFTER-TREATMENT KIT;1;pcs;Scaldis Thermique;14250.00
L00341;D;SA-0107;Auxiliary converter;AUX-INVERTER;Auxiliary inverter 60 kVA ;1;pcs;Tractelys Énergie;34600.00
L00342;D;SA-0107;Auxiliary converter;AUX-CAP-BANK;DC-link capacitor bank;2;u;Tractelys Énergie ;2890,00
L00343;D;SA-0107;Auxiliary converter;AUX-BATTERY-CHARGER;Battery charger 24 V;1;pcs;Tractelys Énergie;7350,00
L00344;D;SA-0107;Auxiliary converter;AUX-BATTERY-PACK;NiCd battery pack ;2;units;TRACTELYS ÉNERGIE;9120,00
L00345;D;SA-0107;Auxiliary converter;AUX-FILTER-CHOKE;input filter choke;1;pcs;TRACTELYS ÉNERGIE;3480,00
L00346;D;SA-0107;Auxiliary converter;AUX-COOLING-FAN;Converter cooling fan;2;units;scaldis thermique;640.00
L00347;D;SA-0107;Auxiliary converter;AUX-CONTACTOR;Power contactor;4;pcs;deûle électronique;385,00
L00348;D;SA-0107;Auxiliary converter;AUX-FUSE-BOX;Fuse box;1;pcs;Deûle Électronique;520.00
L00349;D;SA-0107;Auxiliary converter;AUX-LV-CABLE;Low-voltage power cable ;28;m;Hainaut Câblage;9.40
L00350;D;SA-0107;Auxiliary converter;AUX-ENCLOSURE;Underfloor enclosure;1;pcs;Atelier Lys Métal;4250.00
L00351;D;SA-0107;Auxiliary converter;BGI-2031 ;BOLT SET M8, ZINC-NICKEL;16;pcs;Nordrail Composants;0,85
L00352;D;SA-0108;Interior lighting;LIGHT-LED-STRIP;LED light strip 1200 mm;24;pcs;Deûle Électronique;118.00
L00353;D;SA-0108;Interior lighting;LIGHT-DRIVER;LED DRIVER;6;pcs;Deûle Électronique;96,00
L00354;D;SA-0108;Interior lighting;LIGHT-EMERG-UNIT;Emergency lighting unit;4;units;Deûle Électronique;274,00
L00355;D;SA-0108;Interior lighting;LIGHT-DIFFUSER;LIGHT DIFFUSER;24;u;Artois Polymères ;33.00
L00356;D;SA-0108;Interior lighting;LIGHT-CABLE;Lighting cable;45;m;Hainaut Câblage ;3,20
L00357;D;SA-0108;Interior lighting;LIGHT-SWITCH-PANEL;Lighting switch panel;1;u;Deûle Électronique;460,00
L00358;D;SA-0108;Interior lighting;LIGHT-SENSOR-AMB;Ambient light sensor;2;u;Deûle Électronique;72,00
L00359;D;SA-0108;Interior lighting;LIGHT-READING-SPOT;Reading spot;12;pcs;DEÛLE ÉLECTRONIQUE;58,00
L00360;D;SA-0108;Interior lighting;LIGHT-CONNECTOR;LIGHTING CONNECTOR;48;pcs;Hainaut Câblage;2,70
L00361;D;SA-0108;Interior lighting;LIGHT-CLIP;Cable clip;96;units;Nordrail Composants;0,35
L00362;D;SA-0109;Floor and wall panels;PANEL-FLOOR-PLY;plywood floor panel;14;units;Artois Polymères;385,00
L00363;D;SA-0109;Floor and wall panels;PANEL-FLOOR-COVER;rubber floor covering;38.5;m;Artois Polymères;58.00
L00364;D;SA-0109;Floor and wall panels;PANEL-WALL-GRP;grp wall panel;16;pcs;Artois Polymères;640,00
L00365;D;SA-0109;Floor and wall panels;PANEL-CEILING;Ceiling panel;12;units;Artois Polymères;512.00
L00366;D;SA-0109;Floor and wall panels;PANEL-INSUL-MAT;Thermal insulation mat;22000;g;Artois Polymères;7.60
L00367;D;SA-0109;Floor and wall panels;PANEL-ADHESIVE;Structural adhesive;7.5;kg;Artois Polymères;24,50
L00368;D;SA-0109;Floor and wall panels;PANEL-TRIM-PROFILE;trim profile;52000;mm;Atelier Lys Métal;11,80
L00369;D;SA-0109;Floor and wall panels;PANEL-SCREW-KIT;Panel screw kit ;40;pcs;NORDRAIL COMPOSANTS;6.30
L00370;D;SA-0109;Floor and wall panels;SEAT-FIX-KIT-4471;Floor insert kit for seat fixing;12;pcs;Nordrail Composants;19.90
L00371;D;SA-0109;Floor and wall panels;SEAT-RAIL-I;Floor rail, stainless steel;6;pcs;Atelier Lys Métal;312.00
L00372;D;SA-0109;Floor and wall panels;HVAC-GRILLE-11;Wall ventilation grille type 11;4;pcs;Artois Polymères ;39.00
L00373;D;SA-0111;Passenger door set;DOOR-LEAF;Sliding-plug door leaf;4;pcs;Portalys;3980,00
L00374;D;SA-0111;Passenger door set;DOOR-DRIVE-UNIT;Door drive unit;2;pcs;Portalys;5240.00
L00375;D;SA-0111;Passenger door set;DOOR-GUIDE-RAIL;door guide rail;4;pcs;Portalys;612,00
L00376;D;SA-0111;Passenger door set;DOOR-SEAL;Door leaf seal;8;u;Artois Polymères ;74.00
L00377;D;SA-0111;Passenger door set;DOOR-OBSTACLE-SENSOR;Obstacle detection sensor;4;units;Deûle Électronique;328,00
L00378;D;SA-0111;Passenger door set;DOOR-CTRL-UNIT;Door control unit;2;pcs;Deûle Électronique;2150,00
L00379;D;SA-0111;Passenger door set;DOOR-PUSHBUTTON-INT;Interior push button;4;pcs;Deûle Électronique;86.00
L00380;D;SA-0111;Passenger door set;DOOR-PUSHBUTTON-EXT;Exterior push button;4;pcs;Deûle Électronique ;112,00
L00381;D;SA-0111;Passenger door set;DOOR-EMERG-HANDLE;emergency egress handle;2;u;Portalys;265,00
L00382;D;SA-0111;Passenger door set;DOOR-STEP-PLATE;Step plate;2;u;Atelier Lys Métal;540.00
L00383;D;SA-0111;Passenger door set;DOOR-THRESHOLD;threshold profile;2;pcs;Atelier Lys Métal;298.00
L00384;D;SA-0111;Passenger door set;DOOR-HARNESS;DOOR WIRING HARNESS;2;u;Hainaut Câblage;386,00
L00385;D;SA-0111;Passenger door set;DOOR-LOCK;Door locking device;4;u;Portalys;447,00
L00386;D;SA-0111;Passenger door set;DOOR-DAMPER;Door end-stop damper;4;pcs;Portalys ;58,50
L00387;D;SA-0111;Passenger door set;DOOR-PICTO;Door pictogram;8;u;Artois Polymères;6.80
L00388;D;SA-0111;Passenger door set;DOOR-FIX-KIT;Door fixing kit;4;units;ATELIER LYS MÉTAL;72.00
L00389;D;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-DISPLAY-INT;Interior TFT display;4;u;Deûle Électronique;1480,00
L00390;D;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-DISPLAY-EXT;Exterior LED destination display;2;pcs;deûle électronique;2360,00
L00391;D;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-SPEAKER;Saloon loudspeaker;8;pcs;Deûle Électronique;64.00
L00392;D;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-CONTROLLER;PIS controller;1;pcs;Deûle Électronique ;5720,00
L00393;D;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-CABLE-TRUNK;PIS cable trunk ;36;m;HAINAUT CÂBLAGE;12.60
L00394;D;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-SIGN-STD;Standard signage plate;6;pcs;Artois Polymères;9.50
L00395;D;SA-0113;Seating module;SEAT-FIX-DBL;fixed double seat;24;u;Escaut Sièges ;1260.00
L00396;D;SA-0113;Seating module;SEAT-RAIL;Seat mounting rail;12;u;Atelier Lys Métal;184.00
L00397;D;SA-0113;Seating module;SEAT-FIX-KIT;Seat fixing kit;24;pcs;Atelier Lys Métal;23,50
L00398;D;SA-0113;Seating module;SEAT-TABLE;Fixed table;6;units;Escaut Sièges ;395.00
L00399;D;SA-0113;Seating module;SEAT-GRAB-HANDLE;Seat-back grab handle;12;pcs;Escaut Sièges;31.00
L00400;D;SA-0113;Seating module;SEAT-END-PANEL;Seat row end panel;8;units;Escaut Sièges;142.00
L00401;D;SA-0114;Floor and wall anchorage;ANCH-SEAT-RAIL;Floor anchorage rail ;12;pcs;Atelier Lys Métal;226.00
L00402;D;SA-0114;Floor and wall anchorage;ANCH-RAIL-BOLT;Anchorage rail bolt ;96;units;nordrail composants;1.85
L00403;D;SA-0114;Floor and wall anchorage;ANCH-FLOOR-PLATE;floor anchorage plate;12;pcs;Atelier Lys Métal ;47.00
L00404;D;SA-0114;Floor and wall anchorage;ANCH-SHIM;Levelling shim ;24;units;Nordrail Composants;2.40
L00405;D;SA-0110;TOILET MODULE;WC-CABIN-SHELL;Toilet cabin shell;1;units;Sanirail Modules;14800.00
L00406;D;SA-0110;TOILET MODULE;WC-BOWL-VACUUM;Vacuum toilet bowl;1;pcs;sanirail modules;3260.00
L00407;D;SA-0110;TOILET MODULE;WC-WATER-TANK;Fresh water tank 120 l;1;u;Sanirail Modules;1840.00
L00408;D;SA-0110;TOILET MODULE;WC-WASTE-TANK;Waste retention tank 300 l;1;pcs;Sanirail Modules;2970.00
L00409;D;SA-0110;TOILET MODULE;wc-washbasin ;Washbasin unit;1;units;Sanirail Modules;1120.00
L00410;D;SA-0110;TOILET MODULE;WC-DOOR-SLIDING;Manual sliding toilet door;1;pcs;Sanirail Modules;2380,00
L00411;D;SA-0110;TOILET MODULE;WC-VACUUM-PUMP;Vacuum generator;1;pcs;Sanirail Modules;4150,00
L00412;D;SA-0110;TOILET MODULE;WC-PIPE-KIT;Toilet pipework kit ;1;units;Sanirail Modules;860,00
L00413;D;SA-0110;TOILET MODULE;WC-SEALANT;Sanitary sealant;3;pcs;Artois Polymères;18,00
L00414;D;SA-0110;TOILET MODULE;WC-GRAB-BAR;Toilet grab bar;2;units;Atelier Lys Métal;128.00
L00415;D;SA-0110;TOILET MODULE;SEAT-RAIL-1;Mounting rail, aluminium, mark 1;2;u;ATELIER LYS MÉTAL;121.00
L00416;D;SA-0110;TOILET MODULE;DOOR-SEAL-0;Inner door seal, revision 0;2;u;Artois Polymères;52.00
L00417;E;SA-0101;Carbody shell;SHELL-UNDERFRAME;Underframe, welded aluminium;1;pcs;Atelier Lys Métal;48200.00
L00418;E;SA-0101;Carbody shell;SHELLSIDEWALL;Sidewall panel, extruded;2;units;Atelier Lys Métal;17650.00
L00419;E;SA-0101;Carbody shell;SHELL-ROOF;Roof assembly;1;u;Atelier Lys Métal ;15400.00
L00420;E;SA-0101;Carbody shell;SHELL-ENDWALL;Endwall frame;2;u;Atelier Lys Métal;6900,00
L00421;E;SA-0101;Carbody shell;SHELL-BRACKET-KIT;Equipment bracket kit;4;pcs;Atelier Lys Métal;412.50
L00422;E;SA-0101;Carbody shell;SHELL-SEAL;Carbody joint seal;24;units;Artois Polymères;18.40
L00423;E;SA-0104;HVAC unit ;HVAC-COMPRESSOR;Scroll compressor;2;pcs;Scaldis Thermique;4380,00
L00424;E;SA-0104;HVAC unit ;HVAC-CONDENSER;Condenser coil;2;pcs;Scaldis Thermique;2140.00
L00425;E;SA-0104;HVAC unit ;HVAC-EVAPORATOR;evaporator coil;2;units;Scaldis Thermique;1960.00
L00426;E;SA-0104;HVAC unit ;HVAC-FAN-SUPPLY;Supply air fan ;4;u;Scaldis Thermique ;735.00
L00427;E;SA-0104;HVAC unit ;HVAC-FILTER;FRESH AIR FILTER G4;8;pcs;Scaldis Thermique;38.00
L00428;E;SA-0104;HVAC unit ;HVAC-DUCT-MAIN;Main air duct;18500;mm;Artois Polymères;96,00
L00429;E;SA-0104;HVAC unit ;HVAC-CTRL-BOARD;HVAC CONTROL BOARD;1;u;Deûle Électronique;1820,00
L00430;E;SA-0104;HVAC unit ;HVAC-TEMP-SENSOR;Saloon temperature sensor ;6;pcs;Deûle Électronique;54.00
L00431;E;SA-0104;HVAC unit ;HVAC-GRILLE-12;Air outlet grille type 12;16;pcs;Artois Polymères;42.00
L00432;E;SA-0104;HVAC unit ;HVAC-GRILLE-1L;Air outlet grille, left-hand;2;pcs;Artois Polymères;46.50
L00433;E;SA-0104;HVAC unit ;HVAC-REFRIGERANT;Refrigerant R-513A charge;6,5;kg;Scaldis Thermique ;31.00
L00434;E;SA-0104;HVAC unit ;BGI-2031;bolt set m8, zinc-nickel;24;units;Nordrail Composants;0.85
L00435;E;SA-0105;Braking unit;BRK-COMPRESSOR;Oil-free air compressor;1;u;Sambre Freinage;18700.00
L00436;E;SA-0105;Braking unit;BRK-AIR-TANK;Air reservoir 100 l;2;u;Sambre Freinage;1240,00
L00437;E;SA-0105;Braking unit;BRK-CTRL-VALVE;Brake control valve;4;units;Sambre Freinage;2680.00
L00438;E;SA-0105;Braking unit;BRK-PIPE-STEEL;Brake pipe, stainless;32000;mm;Sambre Freinage;28.50
L00439;E;SA-0105;Braking unit;BRK-HOSE-FLEX;Flexible brake hose;8;units;Artois Polymères;93.00
L00440;E;SA-0105;Braking unit;BRK-DRYER;Air dryer ;1;pcs;Sambre Freinage ;3150.00
L00441;E;SA-0105;Braking unit;BRK-PRESSURE-SENSOR;Pressure transducer;6;units;Deûle Électronique;187.00
L00442;E;SA-0105;Braking unit;BRK-ECU;Brake electronic control unit;1;pcs;DEÛLE ÉLECTRONIQUE;9800,00
L00443;E;SA-0105;Braking unit;BRK-PARKING-ACT;Parking brake actuator;2;units;Sambre Freinage;2260,00
